datetime,iteration,gpu,cvMseMean,cvMseStd,cvSmapeMean,cvSmapeStd,holdoutRmse,holdoutSmape,holdoutMape,holdoutMse,holdoutIoa,full_parameters
1545119543,20,1,260.09409837566267,112.2015274698231,12.57084449598106,3.0326891225386006,12.288800793448296,9.584251967539926,0.2593134286863103,151.01462494105547,0.9436239732439036,"[157.59779866769054, 427.8581284158826, 0.28804537648839235, 271.9697784391827, 88.08502434646368, 192.3325356294224, 0.07610609101571722, 0.0564278401121102, 0.04418670952639091, 0.20575411337527164, 0.07115361380718918, 0.026686540495068967, 0.18715603357305693, 0.3098228265361727, 0.7146132790872542, 0.694713838200171, 0.9240534961217847, 0.5561553584324901, 0.3747773083397036, 0.08810726853678907, 0.21885889199213304]"
1545124377,21,1,252.15908517308213,114.12532592407325,12.48430046319328,2.877160574369876,12.408180882389797,9.65669723781399,0.26856297313383204,153.96295281010362,0.9403051838881993,"[15.78668467250617, 343.67803724489175, 1.0503467549313417, 358.0502544037382, 74.49100396775023, 382.9988772835503, 0.22232146040652506, 0.059813425681446694, 0.010325357336944896, 0.1483839953811303, 0.03737553633253113, 0.03883769566322201, 0.07720952400959602, 0.25763931079126934, 0.46561716275276754, 0.7731748217309723, 0.33172897537377793, 0.8756922069771587, 0.8238633296517429, 0.9522811877900943, 0.23918450806164732]"
1545125176,22,1,473.73917578640294,162.1098858754113,17.29555429576491,4.220298927027294,18.21194942219097,13.492377733336216,0.29956716600328537,331.67510175644196,0.9039229081187817,"[98.96862595233135, 375.00850121087296, 1.1614144156890325, 318.1321093388349, 81.05399349249907, 68.63718787775244, 0.14145856403377616, 0.19317084051182631, 0.2271441571795118, 0.19685925191782383, 0.04593485393991839, 0.044673218185390134, 0.9047956488143595, 0.09576186755861371, 0.8643195393037593, 0.325821658324348, 0.6647591540903764, 0.784012147111518, 0.9505403098808249, 0.29262666115286173, 0.05635731161381763]"
1545125905,23,1,343.02384290102316,235.19900926915383,15.28167451185467,7.017173327455297,12.523200811205554,9.589180956076103,0.2584353369385225,156.83055855777945,0.9408533456132835,"[293.8767312495385, 406.75178284186455, 2.035391049506149, 350.65574009214674, 55.12916841190366, 325.07616932684766, 0.09011170602183652, 0.014414033947596536, 0.16332982895788112, 0.09997528922792073, 0.032925442245800005, 0.22474391833553997, 0.8439705665453737, 0.6347556544830784, 0.10230906496799624, 0.6195336150357813, 0.12606706252348898, 0.9164791847960725, 0.4334889509908798, 0.6743331543238917, 0.31767464023925096]"
1545126633,24,1,283.3971353099515,127.52782965629315,13.203295991136358,3.2982495822738187,13.189265465733541,10.034605699198126,0.2658732513271346,173.9567235255914,0.9352489515372872,"[283.5448139912354, 249.55970536243305, 2.248793910292308, 369.0494262649615, 120.11641469865097, 495.13391137905666, 0.21796001514561764, 0.07280947950690243, 0.15466541979450094, 0.028270859353422648, 0.15007066625088833, 0.08214996838004436, 0.9849531039890667, 0.7904778793076876, 0.28809406349195876, 0.7849479383436034, 0.5124890648763177, 0.25975641899012214, 0.24100842717323923, 0.5203571425751055, 0.8778449123129475]"
1545127211,25,1,277.4546440271268,114.53554381431462,12.986919767819018,2.7782347134575858,13.866659613461604,10.573350570574942,0.2641372828416516,192.28424883560712,0.9330473561036574,"[353.9214585759132, 261.3578014879701, 1.4874149398680117, 302.6348368873335, 221.1853459439634, 300.36217162050673, 0.06866426226913205, 0.197566689108676, 0.12252042610153786, 0.1381159529201369, 0.059715435131876285, 0.09204826655635773, 0.27005598093431205, 0.1826326905198326, 0.15623833916431057, 0.4407543161774128, 0.730556144435271, 0.4625037737690609, 0.8096813223568221, 0.9915494398125815, 0.980542476652107]"
1545128259,26,1,296.73706989938603,115.97009595919725,13.600446734310145,2.9294714630112395,14.4172643019037,11.011394594700636,0.26423381091732673,207.85750995094676,0.9298043199826026,"[90.42635558652583, 205.5709415386529, 2.427015284123248, 436.74395318032566, 161.2807878098365, 105.56155279596211, 0.24514084469141428, 0.11623409520276644, 0.02956672059973442, 0.06233019612010075, 0.16959277305984574, 0.15556356620234585, 0.7817787014091058, 0.9359775183597842, 0.5928775990053915, 0.30062071303965265, 0.5689184050702002, 0.26982210529256306, 0.8965791092814029, 0.3478297112711668, 0.2848572862409481]"
1545130106,27,1,255.3446838892425,108.13252589145682,12.567710456878984,2.7537377745930343,12.829807476320802,9.917542343595274,0.26277020357804004,164.60395987945716,0.9389498704374782,"[44.177414046564564, 461.9509458252004, 0.533245254318693, 499.78132887547986, 219.2161937551829, 243.1860335564167, 0.2496363199168635, 0.15812249021655986, 0.24024720095293772, 0.16135932382748905, 0.19934890533305955, 0.08413040678318068, 0.10312634387302366, 0.04034895913993031, 0.032558793911997175, 0.0950681266402148, 0.721476158813461, 0.8455384062947101, 0.7284963534412183, 0.6872489317246737, 0.021332005628153072]"
1545132445,28,1,367.470550671714,154.47624185579016,15.473124373843865,3.69117679318017,14.226743826109173,11.067842066291501,0.25960093265432344,202.4002398937355,0.9289480136605525,"[32.98365911935991, 231.1364109110163, 0.05649366692588931, 257.3105154757113, 167.85619513707604, 206.52003581494805, 0.10899865089673036, 0.17253197767155196, 0.12624186738199378, 0.2182299316209928, 0.23895463646686155, 0.09848993653320409, 0.7000215919642676, 0.39801032420079546, 0.9620362279685568, 0.6719539061872309, 0.6195063292886328, 0.9432909339331023, 0.026824777053327253, 0.8123888641268197, 0.9709101701804643]"
1545133222,29,1,273.25874014619205,108.2497088651252,12.853143605801886,2.7308690903328925,13.6874081082418,10.368768565747175,0.2651895811343082,187.3451407215634,0.9341613486860669,"[93.39850007685413, 277.7163682426575, 2.792121270578619, 167.5164547554841, 47.73993061314975, 454.9696305641532, 0.13528813885286473, 0.17651535036744792, 0.10474011700172162, 0.24589106220683932, 0.18480483334261286, 0.0950543604780966, 0.8556166688913712, 0.32138925829990406, 0.0675782068036197, 0.11413900886484618, 0.3769445128648247, 0.20407727915696194, 0.4710688995621379, 0.8598050086852549, 0.8530924798198876]"
