,MT00008,MT00007,MT00004,MT00005,MT00003,10m_u_component_of_wind,10m_v_component_of_wind,2m_dewpoint_temperature,2m_temperature,evaporation_from_bare_soil,evaporation_from_open_water_surfaces_excluding_oceans,evaporation_from_the_top_of_canopy,evaporation_from_vegetation_transpiration,forecast_albedo,lake_bottom_temperature,lake_ice_depth,lake_ice_temperature,lake_mix_layer_depth,lake_mix_layer_temperature,lake_shape_factor,lake_total_layer_temperature,leaf_area_index_high_vegetation,leaf_area_index_low_vegetation,potential_evaporation,runoff,skin_reservoir_content,skin_temperature,snow_albedo,snow_cover,snow_density,snow_depth,snow_depth_water_equivalent,snow_evaporation,snowfall,snowmelt,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,sub_surface_runoff,surface_latent_heat_flux,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,surface_runoff,surface_sensible_heat_flux,surface_solar_radiation_downwards,surface_thermal_radiation_downwards,temperature_of_snow_layer,total_evaporation,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,MT00008-1,MT00007-1,MT00004-1,MT00005-1,MT00003-1
2017-02-14,87.875,91.8125,87.875,87.875,87.875,-7.239299774169922,2.661102294921875,283.64698791503906,288.2873582839966,-0.0002444040146656,-0.0006515988497994,-1.2343324442554149e-06,-0.0002668204251676,0.1232166290283203,285.26514434814453,-273.15,-6.1035156022626325e-06,23.89048767089844,285.48687744140625,-272.4489102602005,12.260797119140648,0.800872802734375,0.9213409423828124,-0.0021932569798082,2.525667508734841e-05,-3.382711171065406e-20,291.1504421234131,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,290.7897644042969,287.9070358276367,288.2437286376953,290.8741455078125,2.516786474870969e-05,-2911075.03125,7531404.625,-2943853.578125,102272.3125,8.270193063708575e-08,-12146.6875,8590747.59765625,13502674.01171875,273.1598663330078,-0.0011640572483884,5.29168198681873e-06,0.3547543883323669,0.3673819899559021,0.3507727980613708,0.2742862105369568,86.7375,84.88749998999998,86.7375,86.7375,86.7375
2017-02-15,81.72499999999998,95.59999998999999,89.6125,77.61249998999999,89.6125,-5.199323654174805,0.6034507751464844,281.1926345825196,287.3550138473511,-0.0002279433538205,-0.000613480922766,-3.7864425394218415e-05,-0.0003497571160551,0.1233698725700378,285.2764205932617,-273.15,-0.0006317138671647,25.647445678710938,285.4937438964844,-272.4450059175491,12.277276611328148,0.800872802734375,0.9214324951171876,-0.0021126989740878,3.0197653359209653e-05,1.376828890897741e-07,290.6722183227539,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,290.2641906738281,287.5931091308594,288.2860870361328,290.82606506347656,2.5632190897795223e-05,-3073598.21875,6980734.625,-2661766.341796875,102889.96484375,4.5580125060951104e-06,-307421.28125,7961494.0390625,13632289.3046875,273.15966796875,-0.001229046480148,0.0002760072602541,0.3483046889305115,0.3613833785057068,0.3501967787742615,0.2746772170066833,87.875,91.8125,87.875,87.875,87.875
2017-02-16,81.74999999999997,107.81249999999999,88.725,61.06249998999999,88.725,0.4063529372215271,0.0087184906005859,279.88180923461914,286.953727722168,-0.0002449831808917,-0.0004204037541057,-7.636966614654739e-10,-0.0001109100558096,0.1234649419784545,285.25376892089844,-273.15,0.0001770019531477,6.550841331481934,285.75196838378906,-272.44216587543485,12.289788818359398,0.8009033203125,0.9224395751953124,-0.0010107418347615,2.6076850133449625e-05,-4.206704876422943e-20,294.35418701171875,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,292.46319580078125,286.7936019897461,288.19922637939453,290.7769927978516,2.6078188909650635e-05,-1941365.46875,8573256.9375,-3806429.609375,102890.36328125,0.0,-854669.0,9780592.1171875,12030191.782958984,273.1595458984375,-0.0007762973400531,0.0,0.3416103720664978,0.3559960722923279,0.3494624495506286,0.2750605940818786,81.72499999999998,95.59999998999999,89.6125,77.61249998999999,89.6125
2017-02-17,62.54999998999998,109.88749999999999,75.2,39.9375,75.2,1.8282880783081052,2.4817209243774414,280.91077423095703,288.20336532592773,-0.0002355207107029,-0.0004606370057445,-1.7463175936427433e-06,-0.0001693226658971,0.1235600709915161,285.25794219970703,-273.15,0.0005889892578352,10.476805686950684,285.7430419921875,-272.4383015871048,12.326287841796898,0.80108642578125,0.92333984375,-0.0012008351914118,2.6504520008074905e-05,-2.40692950017233e-20,292.96610260009766,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,291.3185729980469,286.53946685791016,288.10186767578125,290.7279510498047,2.6505858784275915e-05,-2168759.791015625,7973159.5,-3152291.21875,102427.9921875,0.0,-872282.8125,9096590.138671877,12688012.684570312,273.1604919433594,-0.0008672263916196,0.0,0.3357462286949157,0.3512124419212341,0.3486289381980896,0.2754153609275818,81.74999999999997,107.81249999999999,88.725,61.06249998999999,88.725
2017-02-18,57.712499989999976,91.27499999999999,75.58749999,49.225,75.58749999,-1.9841327667236328,4.719714164733887,286.10014724731445,289.3102779388428,-0.0002250901889055,-0.0004650100891012,-8.290508048958145e-06,-9.843740554060788e-05,0.1236665844917297,285.2605209350586,-273.15,0.0009552001953352,14.951231956481934,285.7563934326172,-272.432316327095,12.38392028808596,0.801116943359375,0.92425537109375,-0.0012566339573822,2.6934871073081013e-05,-2.3201931505963652e-20,293.0159721374512,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,291.59283447265625,287.00740146636963,288.030948638916,290.6775817871094,2.6921312326066985e-05,-1992707.671875,8228533.875,-3237362.2509765625,101671.16015625,1.356015388864762e-08,-507508.609375,9391158.703125,12929154.453125,273.1607818603516,-0.000796827745944,8.52346317969932e-07,0.3299264311790466,0.3466929793357849,0.347709596157074,0.2757567763328552,62.54999998999998,109.88749999999999,75.2,39.9375,75.2
2017-02-19,83.95,85.86249998999999,83.95,74.1875,83.95,-4.53919792175293,-4.56600284576416,286.9403839111328,289.27054595947266,-0.0001832911511883,-0.0004534694598987,-3.23924541589804e-05,1.0125793778570367e-05,0.1237483024597168,285.26172637939453,-273.15,-6.713867185226263e-05,16.924179077148438,285.8432006835937,-272.4262986421585,12.470742797851583,0.80126953125,0.925140380859375,-0.0010832283878698,2.742154896395732e-05,1.376828890897741e-07,293.16742515563965,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,292.0154724121094,287.59894943237305,288.05977630615234,290.6296844482422,2.73123222882532e-05,-1648096.109375,8523623.375,-3090636.875,101428.2890625,1.0311719833566713e-07,-1130589.5,9727217.948242188,13171880.348632812,273.1606140136719,-0.0006590272823814,6.594694241357502e-06,0.3254799246788025,0.3427581191062927,0.3467578291893005,0.2760753035545349,57.712499989999976,91.27499999999999,75.58749999,49.225,75.58749999
2017-02-20,85.6875,95.87499999999999,85.6875,78.35000000000001,85.6875,-0.6599578857421875,-3.505828857421875,282.6385040283203,287.57927000522614,-0.0002231943653896,-0.0005951017956249,-5.46814626432024e-05,-0.0002611682575661,0.1238414645195007,285.2647018432617,-273.15,8.544921877273737e-05,18.162657737731934,285.9174346923828,-272.4199052095413,12.537591552734398,0.801300048828125,0.9260406494140624,-0.0018600368639454,2.959058019769145e-05,2.7781343305832702e-06,292.2740058898926,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,291.63299560546875,288.1115474700928,288.1655578613281,290.58203125,2.76911159176052e-05,-2836272.296875,8033156.5625,-3030657.544921875,101881.49609375,1.8981213543156628e-06,-581790.1875,9162535.0,13433318.290466309,273.1592102050781,-0.0011341458230162,0.0001432241333532,0.3220381140708923,0.3392438292503357,0.3457908034324646,0.2763671278953552,83.95,85.86249998999999,83.95,74.1875,83.95
2017-02-21,90.8375,107.29999999999998,90.8375,74.6375,90.8375,0.5849952101707458,-4.733367919921875,279.4592361450196,286.48416900634766,-0.0002852953039109,-0.000849395408295,-1.49508414324373e-05,-0.0007774191908538,0.1239346861839294,285.27051544189453,-273.15,-0.0001892089843522,18.993820190429688,285.8680419921875,-272.4147076845169,12.511460876464866,0.801483154296875,0.9270477294921876,-0.0035128041636198,2.808615312233087e-05,-3.946496473936295e-20,291.4228515625,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,290.7915954589844,287.5265197753906,288.2233085632324,290.53700256347656,2.804547324330997e-05,-4819193.5,8954977.6875,-3819318.1953125,101863.3984375,4.2021468971142895e-08,-277982.8125,10222883.98828125,12360065.50390625,273.1600036621094,-0.0019270608318038,2.8559473435052496e-06,0.3150147795677185,0.3357743620872497,0.3447551131248474,0.2766589522361755,85.6875,95.87499999999999,85.6875,78.35000000000001,85.6875
2017-02-22,83.4375,107.31249999999999,83.4375,64.97499999,83.4375,4.420943260192871,-0.4558563232421875,281.710147857666,288.1563949584961,-0.0002833800972439,-0.0006403316510841,-4.7459323582188524e-08,-0.0003830752975773,0.124038279056549,285.27539825439453,-273.15,8.544921877273737e-05,18.90000915527344,285.8751525878906,-272.4115357637405,12.51374206542971,0.801513671875,0.927947998046875,-0.0021715848706662,2.8388949374402728e-05,-2.40692950017233e-20,292.699893951416,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,291.4707336425781,287.11448669433594,288.1739082336426,290.49436950683594,2.8393718764618825e-05,-3268129.90625,8965132.875,-3830046.9765625,101903.03515625,0.0,-360500.53125,10234333.043457031,12302939.760986328,273.15989685058594,-0.0013068346888758,0.0,0.3072566390037536,0.3315925002098083,0.3436736464500427,0.2769259810447693,90.8375,107.29999999999998,90.8375,74.6375,90.8375
2017-02-23,86.21249999999999,107.74999999999999,86.21249999999999,63.3,86.21249999999999,2.538447380065918,-0.2988433837890625,283.287899017334,288.1588897705078,-0.0002611154923215,-0.0005964864976704,-5.155452527105808e-06,-0.0002022354165092,0.1241185069084167,285.27872467041016,-273.15,7.019042971023737e-05,15.891997337341309,286.0079498291016,-272.40753223896024,12.55903778076174,0.80157470703125,0.928863525390625,-0.0017443373217247,2.91156865728226e-05,-4.380177252480931e-20,294.09083366394043,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,292.9003601074219,288.03535079956055,288.1887016296387,290.4513397216797,2.871141617788453e-05,-2663334.9609375,8589411.125,-3080918.0,101710.53125,4.036021721276484e-07,-491637.0,9811676.453125,13448057.3125,273.159423828125,-0.0010649932701198,2.8781715627701487e-05,0.3012041449546814,0.3275098204612732,0.3425673842430115,0.2771796584129333,83.4375,107.31249999999999,83.4375,64.97499999,83.4375
2017-02-24,81.84999999,94.17499998999999,81.84999999,53.7125,81.84999999,-3.126964807510376,7.045438766479492,285.75130462646484,290.0819034576416,-0.0002195433480665,-0.0005132841179147,-3.205656321370043e-05,-6.495670095318928e-05,0.1242141127586364,285.28272247314453,-273.15,-0.0005706787109147,17.919550895690918,286.0624389648437,-272.40146496295927,12.631692504882835,0.801727294921875,0.9297637939453124,-0.0014831707812845,2.9024344200934135e-05,-4.813858354124591e-20,293.2441825866699,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,292.3112487792969,288.0024108886719,288.25487899780273,290.4091186523437,2.901689362033721e-05,-2075266.0625,9031739.75,-3348372.15625,101169.5703125,0.0,-836961.625,10312321.307617188,13042094.59765625,273.15948486328125,-0.0008298407447,0.0,0.2971920371055603,0.3238534331321716,0.341463029384613,0.2774199843406677,86.21249999999999,107.74999999999999,86.21249999999999,63.3,86.21249999999999
2017-02-25,78.29999999999998,88.52499999999998,78.29999999999998,58.14999999999999,78.29999999999998,6.104043483734131,-5.043922424316406,285.9933776855469,288.94152450561523,-0.0001988215080928,-0.0007016962044872,-4.746775084640831e-05,-0.0001307420025113,0.1243211030960083,285.2861022949219,-273.15,-0.0003570556640397,20.853439331054688,286.1519317626953,-272.3967232942581,12.74867210388186,0.801788330078125,0.9306640625,-0.0023245917400345,3.298004139651312e-05,5.3641997510090264e-09,292.99671173095703,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,292.8451690673828,289.2470054626465,288.4154510498047,290.36981201171875,2.930404292555977e-05,-2697681.75,8200191.0625,-2820299.6875,100754.3203125,3.668546924018301e-06,217505.0,9368439.71875,14130086.884765623,273.16075134277344,-0.0010787279170472,0.0002908491596826,0.2923316359519958,0.3202933669090271,0.3403472304344177,0.2776355147361755,81.84999999,94.17499998999999,81.84999999,53.7125,81.84999999
2017-02-26,80.9625,89.39999999999998,80.9625,68.33749999,80.9625,-4.078948974609375,-4.660242080688477,286.9512405395508,288.912513256073,-0.0001504385436419,-0.0004451391287147,-4.597687075147405e-05,1.6118233361339662e-06,0.1244032979011535,285.2908935546875,-273.15,-0.0005706787109147,21.52281188964844,286.23376083374023,-272.389498257637,12.814921951293968,0.801910400390625,0.931549072265625,-0.0012069817748852,3.210264458175516e-05,1.279055084069114e-06,292.9089908599853,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,292.4540710449219,288.8560562133789,288.5640869140625,290.3357849121094,2.9578975897948112e-05,-1600370.765625,7550521.6875,-2473354.748535156,100903.63671875,2.5175604037031007e-06,-931430.6875,8616252.9375,14155931.72265625,273.16026306152344,-0.0006399430967576,0.0002258188615087,0.2910956740379333,0.3172492384910583,0.3392695784568786,0.2778491377830505,78.29999999999998,88.52499999999998,78.29999999999998,58.14999999999999,78.29999999999998
2017-02-27,79.57499999999999,79.2875,79.57499999999999,66.925,79.57499999999999,-4.59954833984375,-5.186075210571289,286.7479782104492,289.140736579895,-0.0001313418906647,-0.0005013765767216,-0.0003757433150894,-0.0001681775611359,0.1245103478431701,285.29661560058594,-273.15,0.0005889892578352,23.10752868652344,286.2708511352539,-272.38310673236845,12.871738052368189,0.801971435546875,0.93255615234375,-0.0018534513656049,5.7971617025032174e-05,5.76488582737511e-06,291.836341381073,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,0.0,0.0,0.0,291.4320373535156,288.6613960266113,288.6692581176758,290.3031005859375,2.983557709512752e-05,-2942539.625,6360927.25,-1558764.208984375,101034.92578125,2.8128589292464312e-05,-26863.28125,7263941.85546875,15040101.27734375,273.1602783203125,-0.0011766394018195,0.0020714001148007,0.3360423445701599,0.3187064528465271,0.3382567763328552,0.2780532240867615,80.9625,89.39999999999998,80.9625,68.33749999,80.9625
2017-02-28,77.2875,81.81249999999999,77.2875,69.675,77.2875,1.3607406616210938,2.2729921340942383,285.68416595458984,289.19543838500977,-0.0002037989906966,-0.0004460143682081,-6.13024749327451e-05,-1.2548689483082852e-05,0.1246020793914794,285.29874420166016,-273.15,-2.1362304664762632e-05,13.029540061950684,286.8125305175781,-272.38302471637724,12.958367919921898,0.802032470703125,0.9334716796875,-0.0010712624643929,3.262092923250748e-05,8.505302844241669e-07,294.8893394470215,0.8800005316734314,0.0,99.99998474121094,-7.345364722995101e-24,-7.345364920210319e-25,2.3283064365386963e-10,0.0,0.0,293.9648742675781,289.3298988342285,288.7667236328125,290.27392578125,3.008130073567372e-05,-1809738.875,6966495.125,-1471616.203125,101431.9609375,2.5457360379732563e-06,-897108.8125,7960344.84375,15427767.49609375,273.1602325439453,-0.0007236640522023,0.0001961575462701,0.3217105269432068,0.3204020857810974,0.3373259902000427,0.2782420516014099,79.57499999999999,79.2875,79.57499999999999,66.925,79.57499999999999
