station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
BEVB002	51B002	BE	Belgium	51B002 - IXELLES	1994-01-01		Traffic		suburban		Canyon street: L/H < 1.5	4.383452	50.825672	70	BRUSSELS				no
BEVMEU1	51MEU1	BE	Belgium	51MEU1 - MEUDON	2008-07-01		Background		suburban			4.391450	50.895645	50	BRUSSELS				no
BEVR001	51R001	BE	Belgium	51R001 - MOLENBEEK	1995-01-01		Traffic		urban		Canyon street: L/H < 1.5	4.332555	50.850208	15	BRUSSELS				no
BEVR002	51R002	BE	Belgium	51R002 - IXELLES	1994-01-01		Traffic		suburban		Canyon street: L/H < 1.5	4.383452	50.825672	70	BRUSSELS				no
BEVR012	51R012	BE	Belgium	51R012 - UCCLE	1994-01-01		Background		suburban			4.357275	50.797178	100	BRUSSELS				no
BEVWOL1	51WOL1	BE	Belgium	51WOL1 - WOL.ST.L.	1997-01-01		Traffic		suburban		Highway: average speed vehicles > 80 km/h	4.424436	50.857121	77	BRUSSELS				no
BEVBOK1	5BOK01	BE	Belgium	5BOK01 - BOKRIJK	1995-01-01		Background		rural		Unknown	5.429458	50.966503	20	GENK				no
BEVBOM5	5BOM05	BE	Belgium	5BOM05 - BOOM	1996-01-01		Traffic		urban		Wide street: L/H > 1.5	4.353755	51.092075	10	BOOM				no
BE0456A	50R801	BE	Belgium	5BOR01 - BORGERHOUT	1997-01-01		Traffic		suburban		Wide street: L/H > 1.5	4.430547	51.210197	5	ANTWERPEN				no
BE0457A	50R830	BE	Belgium	5DOE01 - DOEL	1995-01-01		Industrial		rural		Wide street: L/H > 1.5	4.261364	51.318760	4	BEVEREN-WAAS				no
BEVGEL1	5GEL01	BE	Belgium	5GEL01 - GELLIK	1996-01-01		Background		rural		Wide street: L/H > 1.5	5.617289	50.882839	70	GELLIK				no
BEVGEN5	5GEN05	BE	Belgium	5GEN05 - GENT	1997-01-01		Background		suburban		Wide street: L/H > 1.5	3.712175	51.027119	8	GENT				no
BEVLAN1	5LAN01	BE	Belgium	5LAN01 - LANDEN	1995-01-01		Background		suburban		Wide street: L/H > 1.5	5.073372	50.758564	25	LANDEN				no
BEVMOU1	5MOU01	BE	Belgium	5MOU01 - MOUSCRON	2007-01-01		Industrial		suburban			3.240133	50.753716	42	MOUSCRON				no
BE0458A	50R833	BE	Belgium	5STA03 - STABROEK	1994-01-01		Background		suburban		Wide street: L/H > 1.5	4.360989	51.328190	4	STABROEK				no
BE0443A	50TS12	BE	Belgium	5TES12 - TESSENDERLO	1994-01-01		Background		urban		Wide street: L/H > 1.5	5.092572	51.063900	32	TESSENDERLO				no
BE0455A	50R750	BE	Belgium	5ZEL01 - ZELZATE	1994-01-01		Industrial		suburban		Wide street: L/H > 1.5	3.821664	51.196594	6	ZELZATE				no
BEPN029	60N029	BE	Belgium	60N029 - HOUTEM	2009-01-01		Background	rural	rural			2.581105	51.016811	2	VEURNE				no
BEPN035	60N035	BE	Belgium	60N035 - AARSCHOT	1999-01-01		Background		suburban			4.836336	50.978123	55	AARSCHOT				no
BEPR701	60R701	BE	Belgium	60R701 - GENT	2010-01-01		Background	urban	urban			3.728047	51.058865	5	GENT				no
BEPR750	60R750	BE	Belgium	60R750 - ZELZATE	1976-01-01		Industrial		suburban		Wide street: L/H > 1.5	3.821664	51.196594	6	ZELZATE				no
BEPR801	60R801	BE	Belgium	60R801 - BORGERHOUT	1995-01-01		Traffic		urban		Wide street: L/H > 1.5	4.430547	51.210197	6	ANTWERPEN				no
BEPSZ01	60SZ01	BE	Belgium	60SZ01 - STEENOKKERZ	1996-01-01		Background		suburban		Wide street: L/H > 1.5	4.502856	50.915112	15	STEENOKKERZEEL				no
BEPSZ02	60SZ02	BE	Belgium	60SZ02 - STEENOKKERZ	1996-01-01		Background		suburban			4.510914	50.913483	15	STEENOKKERZEEL				no
BEPZL01	60ZL01	BE	Belgium	60ZL01 - ZELZATE	2008-01-01		Industrial		suburban			3.807144	51.203674	6	ZELZATE				no
BEPBLD1	61BLD1	BE	Belgium	61BLD1 - BELLIARD	1997-01-01		Traffic		urban		Canyon street: L/H < 1.5	4.371461	50.842121	70	BRUSSELS				no
BEPIHE2	61IHE2	BE	Belgium	61IHE2 - IHE	2000-01-01		Background		suburban		Canyon street: L/H < 1.5	4.381394	50.825047	90	BRUSSELS				no
BEPMEU1	61MEU1	BE	Belgium	61MEU1 - MEUDON	1998-01-01		Background		suburban			4.391450	50.895645	50	BRUSSELS				no
BEPN043	61N043	BE	Belgium	61N043 - HAREN	2009-01-01		Industrial	urban	suburban			4.381697	50.884106	15	BRUSSELS				no
BEPR001	61R001	BE	Belgium	61R001 - MOLENBEEK	2006-07-01		Traffic		urban		Unknown	4.332555	50.850208	15	MOLENBEEK ST. JEAN				no
BEPR002	61R002	BE	Belgium	61R002 - IXELLES	1998-01-01		Traffic		suburban		Canyon street: L/H < 1.5	4.383452	50.825672	70	BRUSSELS				no
BEPR003	61R003	BE	Belgium	61R003 - ARTS-LOI	2000-01-01		Traffic		urban		Wide street: L/H > 1.5	4.367417	50.846260	70	BRUSSELS				no
