,x,500iters3years128units_RS3,500iters3years128units_RS2,500iters3years128units_RS1,500iters3years128units_RS4,500iters3years128units_RS5,500iters3years128units_BO2,500iters3years128units_BO3,500iters3years128units_BO4,500iters3years128units_BO5,500iters3years128units_BO1,500iters3years128units_Island18LS_1,500iters3years128units_Island18LS_3,500iters3years128units_Island18LS_4,500iters3years128units_Island18LS_5,500iters3years128units_Island18LS_6,500iters3years128units_Island5_1,500iters3years128units_Island5_3,500iters3years128units_Island5_5,500iters3years128units_Island5_2,500iters3years128units_Island5_4
27,27,76.03405018912899,76.02862007213542,75.83797329815329,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,75.91817546090697,75.72209202771455,75.8444509004292
28,28,76.03405018912899,76.02862007213542,75.83797329815329,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,75.91817546090697,75.72209202771455,75.8444509004292
29,29,76.03405018912899,76.02862007213542,75.83797329815329,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,75.91817546090697,75.72209202771455,75.8444509004292
30,30,76.03405018912899,76.02862007213542,75.83797329815329,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,75.95174030903837,75.72209202771455,75.8444509004292
31,31,76.03405018912899,76.02862007213542,75.83797329815329,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,76.22734045085892,75.72209202771455,75.8444509004292
32,32,76.03405018912899,76.02862007213542,75.83797329815329,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,76.22734045085892,75.72209202771455,75.8444509004292
33,33,76.03405018912899,76.02862007213542,75.83797329815329,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,76.22734045085892,75.72209202771455,75.8444509004292
34,34,76.03405018912899,76.02862007213542,75.98852167305319,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,76.22734045085892,75.72209202771455,75.8444509004292
35,35,76.03405018912899,76.02862007213542,75.98852167305319,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,76.22734045085892,75.72209202771455,75.8444509004292
36,36,76.03405018912899,76.02862007213542,75.98852167305319,75.9752589952659,75.93167717139859,75.97646279664788,75.71500936354332,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,76.22734045085892,75.72209202771455,75.92949958642687
37,37,76.03405018912899,76.02862007213542,75.98852167305319,75.9752589952659,75.93167717139859,75.97646279664788,75.90706384033027,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,76.22734045085892,75.72437238490319,75.92949958642687
38,38,76.03405018912899,76.02862007213542,75.98852167305319,75.9752589952659,75.93167717139859,75.97646279664788,75.90706384033027,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,76.22734045085892,75.72437238490319,75.92949958642687
39,39,76.03405018912899,76.02862007213542,75.98852167305319,75.9752589952659,75.93167717139859,75.97646279664788,75.90706384033027,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,76.22734045085892,75.72437238490319,75.92949958642687
40,40,76.03405018912899,76.02862007213542,75.98852167305319,75.9752589952659,75.93167717139859,75.97646279664788,75.90706384033027,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,76.22734045085892,75.72437238490319,75.92949958642687
41,41,76.03405018912899,76.02862007213542,75.98852167305319,75.9752589952659,75.93167717139859,76.05890003420019,75.90706384033027,76.12458648990207,76.18491077935614,76.03552650274634,75.61713050675964,75.99404712617186,75.73651488307473,75.97137753381003,75.9893169839749,76.07515375747306,76.0005988540391,76.22734045085892,75.72437238490319,75.92949958642687
