datetime,sensor.flower1_moisture,sensor.flower1_conductivity,sensor.flower1_temperature,sensor.flower1_light_intensity,sensor.dark_sky_precip_intensity-1,sensor.dark_sky_precip_probability-1,sensor.yr_symbol-1,sensor.dark_sky_humidity-1,sensor.dark_sky_temperature-1,sensor.dark_sky_apparent_temperature-1,sensor.dark_sky_cloud_coverage-1,sensor.dark_sky_visibility-1,sensor.flower1_conductivity-1,sensor.flower1_temperature-1,sensor.flower1_moisture-1,sensor.flower1_battery-1,sensor.humidity-1,sensor.temperature-1,sensor.brightness-1,sensor.pressure-1,sun.sun_above_horizon-1,sun.sun_below_horizon-1,sensor.flower1_light_intensity-1,sin_cyclical_month,cos_cyclical_month,sin_cyclical_day_of_week,cos_cyclical_day_of_week,sin_cyclical_day_of_year,cos_cyclical_day_of_year,sin_cyclical_week_of_year,cos_cyclical_week_of_year,sin_cyclical_day,cos_cyclical_day,sin_cyclical_hour,cos_cyclical_hour,sin_cyclical_week_day,cos_cyclical_week_day,sin_cyclical_week,cos_cyclical_week
2018-07-04 00:00:00,22.5,191.33333333333334,20.6,31.0,0.03592857142857143,0.0,3.0,66.5,18.900000000000002,18.900000000000002,61.63636363636363,13.026363636363635,194.0,21.433333333333334,23.0,100.0,33.73829787234044,27.233333333333338,293.7360317460318,1013.7647706422017,0.0,1.0,42.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.32320965745446006,0.9463273837991641,0.40673664307580015,0.9135454576426009,0.5877852522924731,0.8090169943749475,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426009
2018-07-04 01:00:00,21.0,187.0,20.0,41.666666666666664,0.03592857142857143,0.0,4.0,70.5,17.955555555555556,17.955555555555556,76.0,13.116666666666667,191.33333333333334,20.6,22.5,100.0,34.53962264150944,26.781818181818185,290.6304494382021,1013.4727522935779,0.0,1.0,31.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.32320965745446006,0.9463273837991641,0.40673664307580015,0.9135454576426009,0.5877852522924731,0.8090169943749475,0.2697967711570243,0.9629172873477994,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426009
2018-07-04 02:00:00,21.0,183.66666666666666,19.333333333333332,54.0,0.03592857142857143,0.0,3.0,76.5,16.95,16.95,90.5,13.228333333333332,187.0,20.0,21.0,100.0,35.21111111111111,26.375,288.2871874999999,1013.1249541284404,0.0,1.0,41.666666666666664,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.32320965745446006,0.9463273837991641,0.40673664307580015,0.9135454576426009,0.5877852522924731,0.8090169943749475,0.5195839500354336,0.8544194045464886,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426009
2018-07-04 03:00:00,21.0,179.5,18.85,135.0,0.03592857142857143,0.0,3.0,76.5,16.3125,16.3125,89.5,13.089090909090908,183.66666666666666,19.333333333333332,21.0,100.0,35.6560975609756,25.72941176470588,289.5908988764045,1012.8622641509436,0.0,1.0,54.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.32320965745446006,0.9463273837991641,0.40673664307580015,0.9135454576426009,0.5877852522924731,0.8090169943749475,0.730835964278124,0.6825531432186541,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426009
2018-07-04 04:00:00,21.0,173.5,19.099999999999998,1122.3333333333333,0.03592857142857143,0.0,4.0,75.5,16.12857142857143,16.12857142857143,80.81818181818181,13.1575,179.5,18.85,21.0,100.0,36.465625,24.950000000000003,286.7134883720928,1012.749633027523,0.45901639344262296,0.5409836065573771,135.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.32320965745446006,0.9463273837991641,0.40673664307580015,0.9135454576426009,0.5877852522924731,0.8090169943749475,0.8878852184023752,0.4600650377311522,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426009
2018-07-04 05:00:00,21.0,169.5,19.566666666666666,2131.0,0.03592857142857143,0.0,3.0,72.71428571428571,16.32,16.32,90.0,13.40181818181818,173.5,19.099999999999998,21.0,100.0,37.26851851851853,24.700000000000003,356.518202247191,1012.7481372549021,1.0,0.0,1122.3333333333333,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.32320965745446006,0.9463273837991641,0.40673664307580015,0.9135454576426009,0.5877852522924731,0.8090169943749475,0.9790840876823228,0.20345601305263397,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426009
2018-07-04 06:00:00,20.0,167.0,19.85,3297.0,0.03592857142857143,0.0,3.0,74.875,16.8,16.8,66.0,13.105833333333331,169.5,19.566666666666666,21.0,100.0,37.64250000000001,24.76153846153846,511.5744999999999,1012.7473831775703,1.0,0.0,2131.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.32320965745446006,0.9463273837991641,0.40673664307580015,0.9135454576426009,0.5877852522924731,0.8090169943749475,0.9976687691905392,-0.06824241336467088,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426009
2018-07-04 07:00:00,20.0,162.5,20.200000000000003,2339.3333333333335,0.010166666666666666,1.0,3.0,68.0,18.525000000000002,18.525000000000002,71.375,13.184999999999997,167.0,19.85,20.0,100.0,37.825862068965506,25.780555555555555,659.1610714285713,1012.9949523809522,1.0,0.0,3297.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.32320965745446006,0.9463273837991641,0.40673664307580015,0.9135454576426009,0.5877852522924731,0.8090169943749475,0.9422609221188205,-0.33487961217098616,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426009
2018-07-04 08:00:00,20.0,157.5,20.866666666666667,2198.3333333333335,0.005933333333333333,0.0,3.0,64.0,20.111111111111107,20.111111111111107,81.0,13.084545454545456,162.5,20.200000000000003,20.0,100.0,36.41521739130434,28.550000000000004,721.1921794871802,1013.014128440367,1.0,0.0,2339.3333333333335,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.32320965745446006,0.9463273837991641,0.40673664307580015,0.9135454576426009,0.5877852522924731,0.8090169943749475,0.8169698930104421,-0.5766803221148671,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426009
2018-07-04 09:00:00,20.0,150.66666666666666,22.5,2936.6666666666665,0.005933333333333333,0.0,3.0,60.57142857142857,21.433333333333337,21.433333333333337,64.4,13.139166666666668,157.5,20.866666666666667,20.0,100.0,34.36065573770492,31.66938775510204,731.0356097560982,1012.9845544554449,1.0,0.0,2198.3333333333335,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.32320965745446006,0.9463273837991641,0.40673664307580015,0.9135454576426009,0.5877852522924731,0.8090169943749475,0.631087944326053,-0.7757112907044197,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426009
