,MT00007,MT00008,MT00004,MT00003,MT00005,evaporation_from_the_top_of_canopy,forecast_albedo,lake_mix_layer_depth,lake_mix_layer_temperature,potential_evaporation,skin_reservoir_content,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_4,sub_surface_runoff,surface_net_solar_radiation,surface_net_thermal_radiation,surface_runoff,surface_sensible_heat_flux,surface_solar_radiation_downwards,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_4,MT00007-1,MT00008-1,MT00004-1,MT00003-1,MT00005-1
2020-09-18,129.83749999875,117.11249999999998,110.49999999749998,110.49999999749998,92.79999999750001,-3.399611614440801e-07,0.1359527707099914,11.504088401794434,296.2975158691406,-0.0032121953554451,-2.3635613253847715e-20,303.94956970214844,304.3297576904297,300.5860137939453,300.5746459960937,2.517188471529153e-05,11469403.875,-3182456.9375,1.2219146583447582e-08,-1609046.5,13272538.9453125,1.716613724056515e-06,0.2006778717041015,0.1996564269065857,0.2757701277732849,125.82499999999999,109.09999999749998,106.52499999749999,106.52499999749999,89.89999999375001
2020-09-19,125.6874999975,120.08749999749998,116.22499999749999,116.22499999749999,110.72499999875001,-3.7419923160086916e-08,0.1357228755950927,2.9238882064819336,302.5778503417969,-0.0027089652139693,-3.122502768576217e-20,309.19960021972656,307.56768798828125,301.15345001220703,300.58807373046875,2.5086352195557996e-05,11445158.5,-3531454.515625,0.0,-1059727.25,13241895.41796875,0.0,0.1754007339477539,0.1992620825767517,0.2756919264793396,129.83749999875,117.11249999999998,110.49999999749998,110.49999999749998,92.79999999750001
2020-09-20,125.12499999999999,114.62499999749998,106.28749999875,106.28749999875,106.98749999875,-1.2090794143659878e-06,0.1354929208755493,2.5353078842163086,302.95777893066406,-0.0024290000328619,-2.211773036746821e-20,309.48834228515625,307.73681640625,301.1415405273437,300.6015014648437,2.5000817856835056e-05,11228518.875,-3591575.75,0.0,-2060102.625,12987409.92578125,0.0,0.1562690734863281,0.1985043883323669,0.2756118178367615,125.6874999975,120.08749999749998,116.22499999749999,116.22499999749999,110.72499999875001
2020-09-21,118.53749999999998,94.02499999999998,92.7624999975,92.7624999975,83.79999999375,-9.696707081729985e-08,0.1352630257606506,4.559966087341309,300.4762268066406,-0.0028771647121175,-9.454250471418232e-20,307.4625396728516,306.5411376953125,301.158447265625,300.61181640625,2.491528351811212e-05,10304568.75,-3100737.78125,0.0,-2375189.125,11914241.1640625,4.351138045421976e-07,0.1398897171020507,0.1975712180137634,0.2755317091941833,125.12499999999999,114.62499999749998,106.28749999875,106.28749999875,106.98749999875
2020-09-22,86.7499999975,76.33749999624999,76.88749999625,76.88749999625,63.3249999975,-7.298791388166137e-06,0.1350196599960327,5.464171409606934,299.6607971191406,-0.00291136757005,-8.673624617712809e-20,308.1849975585937,307.61181640625,301.52821350097656,300.6217041015625,2.4829750998378582e-05,10949398.25,-3177500.109375,0.0,-2413306.625,12658004.109375,4.261732051702438e-07,0.1268882751464843,0.1965312361717224,0.2754649519920349,118.53749999999998,94.02499999999998,92.7624999975,92.7624999975,83.79999999375
2020-09-23,89.237499995,77.06249999624998,70.14999999749999,70.14999999749999,64.09999999625,-5.3356394346337765e-05,0.1347897052764892,2.2929372787475586,303.16348457336426,-0.0025060020852833,-2.3852454127777038e-20,312.08766174316406,310.52020263671875,302.2214660644531,300.6322631835937,2.474421665965565e-05,10545047.625,-2870518.1484375,1.3285949194141722e-06,-1568097.9375,12187368.109375,0.0002561241417424,0.1189403533935546,0.1953830122947693,0.2753733992576599,86.7499999975,76.33749999624999,76.88749999625,76.88749999625,63.3249999975
2020-09-24,105.12499999749998,96.48749999374998,97.08749999875,97.08749999875,76.06249999625001,-2.388223583693616e-05,0.134559690952301,4.434142112731934,300.5400390625,-0.0035762795014306,-4.466913602042496e-20,309.97821044921875,309.5245361328125,302.4787292480469,300.64178466796875,2.4658682320932712e-05,11186016.875,-3463837.796875,6.61615445096686e-07,-2277665.9375,12924590.749023438,0.000127775259898,0.1096172332763671,0.1941527724266052,0.2753066420555115,89.237499995,77.06249999624998,70.14999999749999,70.14999999749999,64.09999999625
2020-09-25,95.97499999749999,66.41249999624998,68.22499999499999,68.22499999499999,56.624999996250004,-3.659057057348036e-08,0.1343125700950622,5.071166038513184,299.94537353515625,-0.0031350808567367,5.662149860086174e-08,310.33807373046875,309.865966796875,302.2403869628906,300.6546630859375,2.4573147982209772e-05,11021026.125,-3502914.25,0.0,-2377399.5,12730509.630859377,4.351138045421976e-07,0.1027088165283203,0.1929139494895935,0.2752265334129333,105.12499999749998,96.48749999374998,97.08749999875,97.08749999875,76.06249999625001
2020-09-26,88.39999999749999,79.84999999624998,79.14999999624999,79.14999999624999,72.29999999500001,-1.2156364391557872e-05,0.1340826153755188,6.469298362731934,298.095947265625,-0.0077945013181306,1.7242846297449432e-06,302.2120361328125,303.1220703125,301.3076477050781,300.6668701171875,2.449372362889335e-05,9974066.875,-3147165.375,4.217057636424215e-07,-4873048.25,11519162.479492188,8.04979990789434e-05,0.0989837646484375,0.191802442073822,0.275148332118988,95.97499999749999,66.41249999624998,68.22499999499999,68.22499999499999,56.624999996250004
2020-09-27,86.39999999624999,79.87499999499998,78.8999999975,78.8999999975,72.02499999500002,-3.715524508152157e-05,0.1338527798652649,10.553526878356934,295.36767578125,-0.0054602811578661,-3.5128153723095766e-20,304.3035888671875,304.8712158203125,300.0747985839844,300.67803955078125,2.4414299275576923e-05,10330606.125,-3313571.6875,1.3026703413743237e-06,-3034941.5,11925370.22265625,0.0002406241592325,0.0972251892089843,0.1906966567039489,0.2750815749168396,88.39999999749999,79.84999999624998,79.14999999624999,79.14999999624999,72.29999999500001
